Date,trx_values,fees,ISAC,IGLN
2019-07-30,182.96599176148447,3,4,0
2019-07-30,100.43027426764274,3,0,4
2019-08-13,175.6414459939424,3,4,0
2019-08-13,78.74181638110258,3,0,3
2019-09-30,184.7439212552872,3,4,0
2019-09-30,105.06533670101453,3,0,4
2019-10-22,184.63464091276364,3,4,0
2019-10-22,78.17604747987787,3,0,3
2019-11-15,192.40509245577232,3,4,0
2019-11-15,104.17859316425893,3,0,4
2019-12-12,193.2495976699829,3,4,0
2019-12-12,103.20714049325943,3,0,4
2020-01-21,151.93389006877896,3,3,0
2020-01-21,82.40115368112947,3,0,3
2020-02-25,196.6965365299675,3,4,0
2020-02-25,89.26003946596938,3,0,3
2020-03-23,56.47822811232754,3,0,2
2020-03-23,210.3065922296464,3,6,0
2020-04-28,92.34304631533814,3,0,3
2020-04-28,174.6721041047058,3,4,0
2020-05-04,91.28961801973628,3,0,3
2020-05-04,210.08930697165965,3,5,0
2020-06-17,183.88557993753057,3,4,0
2020-06-17,89.8079859988975,3,0,3
2020-07-21,94.1665059609004,3,0,3
2020-07-21,191.01657500097645,3,4,0
2020-08-14,96.51921664951715,3,0,3
2020-08-14,189.49678239837795,3,4,0
2020-09-24,93.83889556663962,3,0,3
2020-09-24,185.134595218924,3,4,0
2020-10-01,95.53705018037363,3,0,3
2020-10-01,190.83958556262587,3,4,0
2020-11-23,90.53865757584572,3,0,3
2020-11-23,151.96589911747287,3,3,0
2020-12-15,153.6682712921688,3,3,0
2020-12-15,89.11303254906034,3,0,3
2021-01-28,160.7425379167671,3,3,0
2021-01-28,89.86315294808583,3,0,3
2021-02-18,86.36700375410896,3,0,3
2021-02-18,166.48400447118274,3,3,0
2021-03-15,113.03764799279634,3,0,4
2021-03-15,167.33470950935953,3,3,0
2021-04-26,86.15490268346548,3,0,3
2021-04-26,173.45125625874698,3,3,0
2021-05-17,89.82440340552057,3,0,3
2021-05-17,170.52563107089372,3,3,0
2021-06-30,180.1976901085195,3,3,0
2021-06-30,115.82997347257424,3,0,4
2021-07-20,89.74173007875834,3,0,3
2021-07-20,180.24657789632602,3,3,0
2021-08-03,89.23840710248692,3,0,3
2021-08-03,182.70852519183654,3,3,0
2021-09-20,87.9544857055298,3,0,3
2021-09-20,182.58420448604738,3,3,0
2021-10-14,187.4808825950031,3,3,0
2021-10-14,90.67568209340288,3,0,3
2021-11-02,90.21014730134584,3,0,3
2021-11-02,129.090859506794,3,2,0
2021-12-14,129.77821109713932,3,2,0
2021-12-14,91.91736602404762,3,0,3
2022-01-07,92.77339212566767,3,0,3
2022-01-07,131.85940146618668,3,2,0
2022-02-03,192.1071174970848,3,3,0
2022-02-03,93.5247871811066,3,0,3
2022-03-07,70.90421765749124,3,0,2
2022-03-07,184.14589154720306,3,3,0
2022-04-01,101.82790834910134,3,0,3
2022-04-01,193.72567972540855,3,3,0
2022-05-16,67.92375288960011,3,0,2
2022-05-16,182.70043412114183,3,3,0
2022-06-27,176.9426849331253,3,3,0
2022-06-27,67.21001670978421,3,0,2
2022-07-12,67.25039452935562,3,0,2
2022-07-12,181.7164009436783,3,3,0
2022-08-04,102.80186208721125,3,0,3
2022-08-04,191.53058404278363,3,3,0
2022-09-28,67.13601006296267,3,0,2
2022-09-28,178.820938063614,3,3,0
2022-10-11,174.5921639512435,3,3,0
2022-10-11,67.30650504360892,3,0,2
2022-11-30,99.28810476163562,3,0,3
2022-11-30,183.61180976703417,3,3,0
2022-12-21,66.60397777130129,3,0,2
2022-12-21,176.04227886840818,3,3,0
2023-01-03,66.75117675216006,3,0,2
2023-01-03,173.26740904744838,3,3,0
2023-02-24,100.0089913713582,3,0,3
2023-02-24,181.22204811897336,3,3,0
2023-03-23,71.46016122281799,3,0,2
2023-03-23,178.58600472984472,3,3,0
2023-04-04,72.1115194455233,3,0,2
2023-04-04,182.49189150672328,3,3,0
2023-05-04,72.08467933396605,3,0,2
2023-05-04,179.01465980809007,3,3,0
2023-06-15,130.18480954069128,3,2,0
2023-06-15,70.26622768076413,3,0,2
2023-07-10,102.41826137932776,3,0,3
2023-07-10,190.69761186384767,3,3,0
2023-08-17,101.65624846986293,3,0,3
2023-08-17,191.53307067956257,3,3,0
2023-09-22,70.36970131167891,3,0,2
2023-09-22,129.5871775166779,3,2,0
2023-10-06,101.47078538270489,3,0,3
2023-10-06,128.40118051363334,3,2,0
2023-11-08,193.33211033406087,3,3,0
2023-11-08,71.19416041278555,3,0,2
